id,rfm_r,rfm_f,rfm_m
1042,28644,3,57860.0
1043,30157,1,4990.0
1044,28668,3,67713.0
1045,29604,1,13990.0
1047,33997,5,42170.0
1049,34045,1,30990.0
1050,30277,1,17990.0
1051,29700,2,7394.0
1052,29028,1,21990.0
1053,28476,1,13990.0
1054,28980,1,13990.0
1055,20772,6,103840.0
1056,26508,2,7280.0
1058,27996,1,1192.0
1060,24612,6,48039.0
1061,29796,3,52750.0
1062,20580,10,260036.1
1063,27324,2,51960.0
1066,30853,3,70410.0
1067,28764,2,5760.0
1068,5556,40,669846.2
1069,30925,4,31740.0
1070,29076,1,15990.0
1072,28404,1,4990.0
1073,32725,1,7490.0
1074,28644,1,623.2
1075,23731,9,162957.0
1076,25164,4,58500.0
1078,30853,4,235284.0
1079,18540,44,5184737.6
1080,28836,3,138429.0
1081,44965,2,51960.0
1084,26316,7,103510.2
1086,33205,14,574839.31
1087,30301,7,198677.0
1089,27228,11,187510.0
1090,28164,1,7590.0
1092,29988,1,10990.0
1094,31549,1,18990.0
1095,29460,1,21990.0
1096,35101,5,57546.0
1097,6932,4,99949.0
1098,22884,5,57852.0
1103,27804,3,45970.0
1104,27852,6,278640.0
1105,31021,1,11990.0
1106,42301,5,73619.0
1108,28332,3,170910.0
1111,20100,7,99850.0
1115,33229,2,1719.0
1116,27396,5,145230.0
1117,27228,2,11080.0
1118,29148,3,70710.0
1119,4620,49,492281.4
1120,15420,10,225320.0
1121,26916,3,288290.0
1122,33709,1,5990.0
1124,27036,6,147093.8
1125,24084,25,816394.1
1126,29028,7,27111.0
1128,33541,1,11990.0
1129,29580,2,243782.56
1130,33349,3,65250.0
1131,32485,11,485770.0
1132,30445,1,49990.0
1134,26796,1,300000.0
1135,22836,8,292821.1
1136,25476,10,559168.3
1137,28596,3,14856.0
1138,26988,2,24980.0
1139,25692,10,280540.0
1140,30325,3,130110.0
1142,28164,3,91350.0
1144,28356,7,84150.0
1145,33733,2,18880.0
1147,33349,2,53960.0
1148,17100,2,18544.0
1149,28812,2,31980.0
1152,30637,5,34098.0
1154,29148,3,57252.0
1158,31693,3,63855.0
1161,32773,2,23960.0
1163,34621,2,145616.0
1165,27732,1,1790.0
1167,32461,1,11990.0
1168,33709,1,35680.0
1170,38701,7,118845.0
1171,31621,5,14197.0
1172,31381,2,23960.0
1174,2868,11,416517.12
1175,31069,3,22429.5
1176,22476,17,130187.5
1177,33013,4,92900.0
1178,30445,1,6490.0
1181,33205,17,778144.2
1182,29844,2,9584.0
1183,29652,20,742095.46
1185,12996,4,32760.0
1186,24396,34,1615162.0
1187,33733,1,5990.0
1189,25788,3,43550.0
1190,25812,5,53890.0
1194,27228,48,5106523.0
1195,34165,3,9968.0
1196,31453,2,10980.0
1197,43477,5,292230.0
1198,26796,1,17990.0
1199,23748,6,175860.0
1201,28884,3,38770.0
1202,30853,1,5590.0
1204,29388,1,19990.0
1206,24876,9,353890.0
1209,28140,3,41370.0
1211,27084,4,167840.0
1212,32365,2,10980.0
1213,28860,2,55960.0
1214,31141,9,318960.0
1215,27132,1,28792.0
1218,32869,3,10524.0
1219,23580,6,157979.0
1220,27756,2,23822.0
1221,33037,2,33960.0
1226,25740,60,1237880.6
1227,30325,1,9990.0
1231,31765,1,12990.0
1232,34381,2,19960.0
1233,33205,1,16990.0
1235,22068,9,183388.1
1236,26676,8,267660.0
1238,32533,2,28360.0
1239,32701,1,15990.0
1240,34237,2,20560.0
1242,20844,3,71950.0
1243,27516,2,32980.0
1245,27684,2,11760.0
1246,23412,8,656360.2
1247,2130,2,20780.0
1249,27012,1,4090.0
1250,24996,4,427948.2
1254,25284,3,24270.0
1257,32293,3,15950.0
1258,27108,1,12990.0
1259,33349,3,17470.0
1261,31333,3,309150.0
1262,26964,1,25590.0
1264,15156,24,598513.7
1265,25476,3,15870.0
1266,29508,1,29990.0
1267,28284,2,34555.5
1268,33589,3,38937.0
1269,32293,2,49960.0
1270,33805,33,863947.0
1271,8260,9,267480.0
1272,33157,1,13990.0
1274,27132,4,40520.0
1275,30925,8,131980.0
1277,29796,3,70710.0
1279,30805,7,184814.0
1282,30421,1,12990.0
1283,27492,2,33960.0
1284,27396,1,34153.0
1286,29916,7,208110.0
1288,30084,1,4990.0
1289,32197,6,154020.0
1290,33757,10,738866.0
1291,32869,2,55960.0
1292,30637,19,1832500.0
1295,34045,1,35990.0
1296,15636,15,336318.69
1297,21324,6,47340.0
1300,32365,3,32970.0
1301,492,44,2867325.0
1302,26892,2,8139.0
1305,23057,8,212520.0
1306,26892,1,49990.0
1309,43909,1,5990.0
1310,24924,9,811048.0
1311,45973,1,18990.0
1312,30925,1,3890.0
1314,32869,2,39980.0
1317,28932,4,82300.0
1318,30157,4,136240.0
1319,19623,1,399.0
1320,30661,1,3590.0
1323,28860,1,999.0
1324,84,24,256966.0
1325,33085,1,1290.0
1326,29124,47,1265757.0
1328,30493,1,15990.0
1329,13893,2,9780.0
1330,35269,4,14180.0
1332,27180,5,82696.0
1334,30325,4,175840.0
1335,31909,5,224870.0
1336,28260,3,29472.0
1337,1406,4,17888.0
1339,30493,1,3990.0
1340,31837,1,19990.0
1341,27972,1,45990.0
1342,27684,1,3512.0
1343,24780,2,8180.0
1344,31669,3,187953.0
1346,32941,1,3990.0
1347,33349,2,16980.0
1348,29724,10,271340.0
1349,5724,2,36688.0
1352,29580,4,49440.0
1353,26700,3,66350.0
1354,4068,113,2124067.3
1355,23868,7,80112.0
1356,48997,1,22990.0
1357,31789,1,24990.0
1359,27228,2,13480.0
1360,27084,8,309351.51
1361,29484,1,16990.0
1362,28164,1,14990.0
1363,33421,5,80750.0
1364,26796,1,3992.0
1365,32773,4,157558.0
1368,27804,3,80037.0
1371,30421,2,47560.0
1372,26964,1,12990.0
1375,3444,12,45105.0
1376,22284,34,672960.68
